name,noc,team,sport,sex,age,event,rank,medal
Gergely Marek,SVK,Slovakia,Wheelchair Tennis,Male,35,Men's Singles,17,NA
Gernaat Russell,USA,United States of America,Rowing,Male,55,PR2 Mixed Double Sculls - PR2Mix2x,10,NA
Gerny Celine,FRA,France,Equestrian,Female,39,Team Test to Music,6,NA
Gerny Celine,FRA,France,Equestrian,Female,39,Individual Test - Grade II,",",NA
Gesini Ari,AUS,Australia,Athletics,Male,19,Men's 100m - T38,NA,NA
Gesini Ari,AUS,Australia,Athletics,Male,19,Men's Long Jump - T38,11,NA
Gharanjik Abdoljalil,IRI,Islamic Republic of Iran,Wheelchair Basketball,Male,34,Men,9,NA
Gharsallah Karim,TUN,Tunisia,Table Tennis,Male,42,Men's Singles - Class 11,NA,NA
Ghavelas Athanasios,GRE,Greece,Athletics,Male,21,Men's 100m - T11,1,Gold
Ghazouani Souhad,FRA,France,Powerlifting,Female,39,Women's -73 kg,3,Bronze
Ghilli Houssam,MAR,Morocco,Football 5-a-side,Male,27,Men,3,Bronze
Ghiretti Giulia,ITA,Italy,Swimming,Female,27,Women's 50m Backstroke - S5,NA,NA
Ghiretti Giulia,ITA,Italy,Swimming,Female,27,Women's 100m Breaststroke - SB4,2,Silver
Ghiretti Giulia,ITA,Italy,Swimming,Female,27,Women's 50m Butterfly - S5,8,NA
Ghiretti Giulia,ITA,Italy,Swimming,Female,27,Women's 200m Individual Medley - SM5,4,NA
Ghoul Yamina,ALG,Algeria,Wheelchair Basketball,Female,49,Women,10,NA
Giera Krystian,POL,Poland,Cycling Road,Male,40,Men's H4 Road Race,8,NA
Giera Krystian,POL,Poland,Cycling Road,Male,40,Men's H4 Time Trial,7,NA
Gil Jose Pablo,CRC,Costa Rica,Wheelchair Tennis,Male,26,Men's Singles,33,NA
Gillette Lex,USA,United States of America,Athletics,Male,36,Men's Long Jump - T11,2,Silver
Gilli Carlotta,ITA,Italy,Swimming,Female,20,Women's 50m Freestyle - S13,3,Bronze
Gilli Carlotta,ITA,Italy,Swimming,Female,20,Women's 400m Freestyle - S13,2,Silver
Gilli Carlotta,ITA,Italy,Swimming,Female,20,Women's 100m Backstroke - S13,2,Silver
Gilli Carlotta,ITA,Italy,Swimming,Female,20,Women's 100m Breaststroke - SB13,NA,NA
Gilli Carlotta,ITA,Italy,Swimming,Female,20,Women's 100m Butterfly - S13,1,Gold
Gilli Carlotta,ITA,Italy,Swimming,Female,20,Women's 200m Individual Medley - SM13,1,Gold
Gilliver Piers,GBR,Great Britain,Wheelchair Fencing,Male,26,Men's Épée Individual - Category A,1,Gold
Gilliver Piers,GBR,Great Britain,Wheelchair Fencing,Male,26,Men's Sabre Individual - Category A,11,NA
Gilliver Piers,GBR,Great Britain,Wheelchair Fencing,Male,26,Men's Foil Team,2,Silver
Gilliver Piers,GBR,Great Britain,Wheelchair Fencing,Male,26,Men's Épée Team,3,Bronze
Gilmutdinov Arslan,RPC,RPC,Cycling Road,Male,38,Men's C1-3 Road Race,9,NA
Gilmutdinov Arslan,RPC,RPC,Cycling Road,Male,38,Men's C2 Time Trial,5,NA
Gilmutdinov Arslan,RPC,RPC,Cycling Track,Male,38,Men's C2 3000m Individual Pursuit,5,NA
Gilmutdinov Arslan,RPC,RPC,Cycling Track,Male,38,Men's C1-3 1000m Time Trial,13,NA
Gilmutdinov Arslan,RPC,RPC,Cycling Track,Male,38,Mixed C1-5 750m Team Sprint,8,NA
Gim Dong Hyeon,KOR,Republic of Korea,Wheelchair Basketball,Male,32,Men,10,NA
Gimenez Daniela,ARG,Argentina,Swimming,Female,29,Women's 100m Breaststroke - SB9,4,NA
Gimenez Daniela,ARG,Argentina,Swimming,Female,29,Women's 200m Individual Medley - SM9,8,NA
Gimenez Reinoso Pablo Damian,ARG,Argentina,Athletics,Male,37,Men's Shot Put - F57,8,NA
Gimenez Reinoso Pablo Damian,ARG,Argentina,Athletics,Male,37,Men's Javelin Throw - F57,9,NA
Gingras Zachary,CAN,Canada,Athletics,Male,20,Men's 400m - T38,3,Bronze
Gingras Zachary,CAN,Canada,Athletics,Male,20,4x100m Universal Relay,NA,NA
Giordan Edoardo,ITA,Italy,Wheelchair Fencing,Male,28,Men's Épée Individual - Category A,9,NA
Giordan Edoardo,ITA,Italy,Wheelchair Fencing,Male,28,Men's Sabre Individual - Category A,6,NA
Giordan Edoardo,ITA,Italy,Wheelchair Fencing,Male,28,Men's Épée Team,8,NA
Giraldo Correa Daniel,COL,Colombia,Swimming,Male,37,Men's 50m Freestyle - S13,NA,NA
Giraldo Correa Daniel,COL,Colombia,Swimming,Male,37,Men's 100m Backstroke - S12,7,NA
Giraldo Correa Daniel,COL,Colombia,Swimming,Male,37,Men's 100m Breaststroke - SB12,7,NA
Giraldo Correa Daniel,COL,Colombia,Swimming,Male,37,Men's 100m Butterfly - S12,8,NA
Giyazov Temurbek,UZB,Uzbekistan,Athletics,Male,25,Men's High Jump - T64,6,NA
Gjessing Lisa,DEN,Denmark,Taekwondo,Female,43,Women K44 -58kg,1,Gold
Gkouli Efthymia,GRE,Greece,Swimming,Female,25,Women's 100m Breaststroke - SB8,8,NA
Glab Michal,POL,Poland,Athletics,Male,28,Men's Shot Put - F33,6,NA
Gladkov Andrei,RPC,RPC,Swimming,Male,24,Men's 100m Freestyle - S8,NA,NA
Gladkov Andrei,RPC,RPC,Swimming,Male,24,Men's 400m Freestyle - S7,NA,NA
Gladkov Andrei,RPC,RPC,Swimming,Male,24,Men's 100m Backstroke - S7,4,NA
Gladkov Andrei,RPC,RPC,Swimming,Male,24,Men's 4x100m Freestyle Relay - 34 Points,5,NA
Gladkov Andrei,RPC,RPC,Swimming,Male,24,Men's 4x100m Medley Relay - 34 Points,1,Gold
Glinbancheun Yuttajak,THA,Thailand,Table Tennis,Male,24,Men's Team - Class 3,3,Bronze
Glinbancheun Yuttajak,THA,Thailand,Table Tennis,Male,24,Men's Singles - Class 3,5,NA
Glock Talisson Henrique,BRA,Brazil,Swimming,Male,26,Men's 100m Freestyle - S6,3,Bronze
Glock Talisson Henrique,BRA,Brazil,Swimming,Male,26,Men's 400m Freestyle - S6,1,Gold
Glock Talisson Henrique,BRA,Brazil,Swimming,Male,26,Men's 100m Backstroke - S6,NA,NA
Glock Talisson Henrique,BRA,Brazil,Swimming,Male,26,Men's 50m Butterfly - S6,NA,NA
Glock Talisson Henrique,BRA,Brazil,Swimming,Male,26,Men's 200m Individual Medley - SM6,6,NA
Glock Talisson Henrique,BRA,Brazil,Swimming,Male,26,Men's 4x100m Freestyle Relay - 34 Points,4,NA
Glock Talisson Henrique,BRA,Brazil,Swimming,Male,26,Men's 4x100m Medley Relay - 34 Points,7,NA
Glock Talisson Henrique,BRA,Brazil,Swimming,Male,26,Mixed 4x50m Freestyle Relay - 20 Points,3,Bronze
Gnezdilov Denis,RPC,RPC,Athletics,Male,34,Men's Shot Put - F40,1,Gold
Godfrey Michael,USA,United States of America,Table Tennis,Male,57,Men's Team - Class 3,5,NA
Godfrey Michael,USA,United States of America,Table Tennis,Male,57,Men's Singles - Class 1,NA,NA
Godinjak Ismet,BIH,Bosnia and Herzegovina,Sitting Volleyball,Male,48,Men,3,Bronze
Godmane Imad Eddine,ALG,Algeria,Goalball,Male,30,Men,10,NA
Godovitsyna Anna,RPC,RPC,Sitting Volleyball,Female,30,Women,5,NA
Goerlach Jonathan,AUS,Australia,Triathlon,Male,38,Men's PTVI,8,NA
Gogel Jane Karla,BRA,Brazil,Archery,Female,46,Women's Individual Compound - Open,9,NA
Gogel Jane Karla,BRA,Brazil,Archery,Female,46,Mixed Team Compound - Open,9,NA
Golestani Hossein,IRI,Islamic Republic of Iran,Sitting Volleyball,Male,29,Men,1,Gold
Golus Michal,POL,Poland,Swimming,Male,25,Men's 100m Freestyle - S8,NA,NA
Golus Michal,POL,Poland,Swimming,Male,25,Men's 100m Butterfly - S8,NA,NA
Gomes De Mendonca Ricardo,BRA,Brazil,Athletics,Male,31,Men's 100m - T37,5,NA
Gomes De Mendonca Ricardo,BRA,Brazil,Athletics,Male,31,Men's 200m - T37,3,Bronze
Gomes De Mendonca Ricardo,BRA,Brazil,Athletics,Male,31,4x100m Universal Relay,NA,NA
Gomes Jessica,BRA,Brazil,Goalball,Female,28,Women,4,NA
Gomes Pessanha Michel,BRA,Brazil,Rowing,Male,42,PR2 Mixed Double Sculls - PR2Mix2x,8,NA
Gomes Santiago Maria Carolina,BRA,Brazil,Swimming,Female,36,Women's 50m Freestyle - S13,1,Gold
Gomes Santiago Maria Carolina,BRA,Brazil,Swimming,Female,36,Women's 100n Freestyle - S12,1,Gold
Gomes Santiago Maria Carolina,BRA,Brazil,Swimming,Female,36,Women's 100m Backstroke - S12,3,Bronze
Gomes Santiago Maria Carolina,BRA,Brazil,Swimming,Female,36,Women's 100m Breaststroke - SB12,1,Gold
Gomes Santiago Maria Carolina,BRA,Brazil,Swimming,Female,36,Women's 100m Butterfly - S13,6,NA
Gomes Santiago Maria Carolina,BRA,Brazil,Swimming,Female,36,Mixed 4x100m Freestyle Relay - 49 Points,2,Silver
Gomes Soares Carlos Alberto,BRA,Brazil,Cycling Road,Male,26,Men's C1-3 Road Race,NA,NA
Gomes Soares Carlos Alberto,BRA,Brazil,Cycling Road,Male,26,Men's C1 Time Trial,8,NA
Gomes Soares Carlos Alberto,BRA,Brazil,Cycling Track,Male,26,Men's C1 3000m Individual Pursuit,10,NA
Gomes Soares Carlos Alberto,BRA,Brazil,Cycling Track,Male,26,Men's C1-3 1000m Time Trial,20,NA
Gomez Coa Juan Sebastian,COL,Colombia,Athletics,Male,21,Men's 100m - T38,NA,NA
Gomez Coa Juan Sebastian,COL,Colombia,Athletics,Male,21,Men's Long Jump - T38,7,NA
Gomez Joel,USA,United States of America,Athletics,Male,18,Men's 400m - T13,NA,NA
Gomez Joel,USA,United States of America,Athletics,Male,18,Men's 1500m - T13,10,NA
Gomez Maximiliano Ramon,ARG,Argentina,Cycling Road,Male,42,Men's B Road Race,NA,NA
Gomez Maximiliano Ramon,ARG,Argentina,Cycling Road,Male,42,Men's B Time Trial,5,NA
Gomez Maximiliano Ramon,ARG,Argentina,Cycling Track,Male,42,Men's B 4000m Individual Pursuit,8,NA
Gomez Maximiliano Ramon,ARG,Argentina,Cycling Track,Male,42,Men's B 1000m Time Trial,7,NA
Goncalves Cristina,POR,Portugal,Boccia,Female,43,Individual - BC2,9,NA
Goncalves Cristina,POR,Portugal,Boccia,Female,43,Team - BC1/BC2,4,NA
Goncalves Jeferson,BRA,Brazil,Football 5-a-side,Male,31,Men,1,Gold
Goncalves Luan,BRA,Brazil,Football 5-a-side,Male,28,Men,1,Gold
Goncalves Rodrigues Vinicius,BRA,Brazil,Athletics,Male,26,Men's 100m - T63,2,Silver
Goncalves Silva Ruiter Antonio,BRA,Brazil,Swimming,Male,28,Men's 50m Freestyle - S9,NA,NA
Goncalves Silva Ruiter Antonio,BRA,Brazil,Swimming,Male,28,Men's 200m Individual Medley - SM9,NA,NA
Goncalves Silva Ruiter Antonio,BRA,Brazil,Swimming,Male,28,Men's 4x100m Freestyle Relay - 34 Points,4,NA
Goncharova Margarita,RPC,RPC,Athletics,Female,30,Women's 100m - T38,NA,NA
Goncharova Margarita,RPC,RPC,Athletics,Female,30,Women's 400m - T38,2,Silver
Goncharova Margarita,RPC,RPC,Athletics,Female,30,Women's Long Jump - T38,2,Silver
Goncin Nikola,CAN,Canada,Wheelchair Basketball,Male,29,Men,8,NA
Gong Bin,CHN,People's Republic of China,Sitting Volleyball,Female,40,Women,2,Silver
Gong Xiao,USA,United States of America,Shooting,Male,23,P1 - Men's 10m Air Pistol SH1,9,NA
Gong Xiao,USA,United States of America,Shooting,Male,23,P3 - Mixed 25m Pistol SH1,10,NA
Gong Xiao,USA,United States of America,Shooting,Male,23,P4 - Mixed 50m Pistol SH1,16,NA
Gontar Anastasiia,RPC,RPC,Swimming,Female,20,Women's 50m Freestyle - S10,1,Gold
Gontar Anastasiia,RPC,RPC,Swimming,Female,20,Women's 100m Freestyle - S10,NA,NA
Gontar Anastasiia,RPC,RPC,Swimming,Female,20,Women's 100m Backstroke - S10,6,NA
Gontar Anastasiia,RPC,RPC,Swimming,Female,20,Women's 4x100m Freestyle Relay - 34 Pts,6,NA
Gontar Anastasiia,RPC,RPC,Swimming,Female,20,Women's 4x100m Medley Relay - 34 Points,2,Silver
Gonzalez Cristian,CHI,Chile,Table Tennis,Male,41,Men's Team - Class 4-5,5,NA
Gonzalez Cristian,CHI,Chile,Table Tennis,Male,41,Men's Singles - Class 4,9,NA
Gonzalez Henriquez Norkelys Del Ca.,VEN,Venezuela,Athletics,Female,26,Women's 400m - T20,6,NA
Gonzalez Ixhelt,USA,United States of America,Wheelchair Basketball,Female,17,Women,3,Bronze
Gonzalez Laura,ARG,Argentina,Judo,Female,29,Women -57 kg,7,NA
Gonzalez Rodriguez Laura Carolina,COL,Colombia,Swimming,Female,22,Women's 100m Butterfly - S8,3,Bronze
Gonzalez Rodriguez Laura Carolina,COL,Colombia,Swimming,Female,22,Women's 200m Individual Medley - SM8,4,NA
Gonzalez Sauceda Jorge Benjamin,MEX,Mexico,Athletics,Male,27,Men's 400m - T13,NA,NA
Gonzalez Sauceda Jorge Benjamin,MEX,Mexico,Athletics,Male,27,Men's Long Jump - T13,5,NA
Gonzalez Sofia,SUI,Switzerland,Athletics,Female,20,Women's 100m - T63,7,NA
Gonzalez Sofia,SUI,Switzerland,Athletics,Female,20,Women's Long Jump - T63,8,NA
Goodkind Laura,USA,United States of America,Rowing,Female,35,PR2 Mixed Double Sculls - PR2Mix2x,10,NA
Goodrich Ben,USA,United States of America,Judo,Male,28,Men -100 kg,2,Silver
Goranovic Marijana,MNE,Montenegro,Athletics,Female,32,Women's Shot Put - F41,10,NA
Goranovic Marijana,MNE,Montenegro,Athletics,Female,32,Women's Discus Throw - F41,11,NA
Gorczak Bartosz,POL,Poland,Athletics,Male,33,Men's Shot Put - F53,4,NA
Gordiychuk Yuliya,ISR,Israel,Swimming,Female,23,Women's 400m Freestyle - S9,NA,NA
Gordiychuk Yuliya,ISR,Israel,Swimming,Female,23,Women's 100m Butterfly - S9,7,NA
Gordiychuk Yuliya,ISR,Israel,Swimming,Female,23,Women's 200m Individual Medley - SM9,NA,NA
Gordon Martin,IRL,Ireland,Cycling Road,Male,36,Men's B Road Race,NA,NA
Gordon Martin,IRL,Ireland,Cycling Track,Male,36,Men's B 1000m Time Trial,5,NA
Gore Jonathan,USA,United States of America,Athletics,Male,26,Men's 100m - T64,7,NA
Gore Jonathan,USA,United States of America,Athletics,Male,26,Men's 200m - T64,4,NA
Goren Shtouk Simona,ISR,Israel,Rowing,Female,39,PR3 Mixed Coxed Four - PR3Mix4+,6,NA
Gorlova Elena,RPC,RPC,Athletics,Female,40,Women's Discus Throw - F53,5,NA
Gorlova Elena,RPC,RPC,Athletics,Female,40,Women's Club Throw - F51,3,Bronze
Gorodetzky Nina,ISR,Israel,Badminton,Female,40,Women's Singles WH1,7,NA
Gouws Liezel,RSA,South Africa,Athletics,Female,22,Women's 200m - T37,NA,NA
Gouws Liezel,RSA,South Africa,Athletics,Female,22,Women's 400m - T37,5,NA
Goverdhan Palesha,NEP,Nepal,Taekwondo,Female,18,Women K44 -58kg,5,NA
Governo Edmilsa,MOZ,Mozambique,Athletics,Female,23,Women's 100m - T13,NA,NA
Governo Edmilsa,MOZ,Mozambique,Athletics,Female,23,Women's 400m - T13,6,NA
Grachat David,POR,Portugal,Swimming,Male,34,Men's 400m Freestyle - S9,NA,NA
Gradecak Ana,CRO,Croatia,Athletics,Female,31,Women's Shot Put - F41,8,NA
Graf Sandra,SUI,Switzerland,Cycling Road,Female,51,Women's H1-4 Road Race,11,NA
Graf Sandra,SUI,Switzerland,Cycling Road,Female,51,Women's H4-5 Time Trial,11,NA
Graham Finlay,GBR,Great Britain,Cycling Road,Male,21,Men's C1-3 Road Race,2,Silver
Graham Finlay,GBR,Great Britain,Cycling Road,Male,21,Men's C3 Time Trial,4,NA
Graham Finlay,GBR,Great Britain,Cycling Track,Male,21,Men's C3 3000m Individual Pursuit,2,Silver
Graham Finlay,GBR,Great Britain,Cycling Track,Male,21,Mixed C1-5 750m Team Sprint,1,Gold
Graham Shae,AUS,Australia,Wheelchair Rugby,Female,34,Mixed,4,NA
Granados Joymar,COL,Colombia,Wheelchair Basketball,Male,26,Men,11,NA
Granichka Andrei,RPC,RPC,Swimming,Male,24,Men's 400m Freestyle - S6,4,NA
Granichka Andrei,RPC,RPC,Swimming,Male,24,Men's 100m Breaststroke - SB5,1,Gold
Granichka Andrei,RPC,RPC,Swimming,Male,24,Men's 50m Butterfly - S6,NA,NA
Granichka Andrei,RPC,RPC,Swimming,Male,24,Men's 200m Individual Medley - SM6,2,Silver
Grant Sylvia,JAM,Jamaica,Athletics,Female,58,Women's Discus Throw - F57,10,NA
Grant-stuart Walter,GUY,Guyana,Cycling Road,Male,36,Men's C4-5 Road Race,NA,NA
Grant-stuart Walter,GUY,Guyana,Cycling Road,Male,36,Men's C5 Time Trial,13,NA
Greaves Dan,GBR,Great Britain,Athletics,Male,38,Men's Discus Throw - F64,3,Bronze
Grebe Stephanie,GER,Germany,Table Tennis,Female,33,Women's Team - Classes 6-8,5,NA
Grebe Stephanie,GER,Germany,Table Tennis,Female,33,Women's Singles - Class 6,3,Bronze
Greco Paige,AUS,Australia,Cycling Road,Female,24,Women's C1-3 Road Race,3,Bronze
Greco Paige,AUS,Australia,Cycling Road,Female,24,Women's C1-3 Time Trial,3,Bronze
Greco Paige,AUS,Australia,Cycling Track,Female,24,Women's C1-3 3000m Individual Pursuit,1,Gold
Green Byron,CAN,Canada,Wheelchair Rugby,Male,37,Mixed,5,NA
Green Deion,CAN,Canada,Wheelchair Basketball,Male,31,Men,8,NA
Greenwood Jasmine,AUS,Australia,Swimming,Female,16,Women's 100m Freestyle - S10,5,NA
Greenwood Jasmine,AUS,Australia,Swimming,Female,16,Women's 100m Backstroke - S10,4,NA
Greenwood Jasmine,AUS,Australia,Swimming,Female,16,Women's 100m Butterfly - S10,2,Silver
Greenwood Jasmine,AUS,Australia,Swimming,Female,16,Women's 200m Individual Medley - SM10,5,NA
Gretsch Kendall,USA,United States of America,Triathlon,Female,29,Women's PTWC,1,Gold
Grewe Sam,USA,United States of America,Athletics,Male,23,Men's High Jump - T63,1,Gold
Grigoryev Dmitry,RPC,RPC,Swimming,Male,29,Men's 50m Freestyle - S10,7,NA
Grigoryev Dmitry,RPC,RPC,Swimming,Male,29,Men's 100m Freestyle - S10,NA,NA
Grigoryev Dmitry,RPC,RPC,Swimming,Male,29,Men's 100m Breaststroke - SB9,4,NA
Grigoryev Dmitry,RPC,RPC,Swimming,Male,29,Men's 100m Butterfly - S10,6,NA
Grigoryev Dmitry,RPC,RPC,Swimming,Male,29,Men's 4x100m Medley Relay - 34 Points,1,Gold
Grimaldi Anna,NZL,New Zealand,Athletics,Female,24,Women's Long Jump - T47,1,Gold
Grimes Kylie,GBR,Great Britain,Wheelchair Rugby,Female,33,Mixed,1,Gold
Grimes Ronan,IRL,Ireland,Cycling Road,Male,32,Men's C4-5 Road Race,11,NA
Grimes Ronan,IRL,Ireland,Cycling Road,Male,32,Men's C4 Time Trial,6,NA
Grimes Ronan,IRL,Ireland,Cycling Track,Male,32,Men's C4 4000m Individual Pursuit,4,NA
Grimes Ronan,IRL,Ireland,Cycling Track,Male,32,Men's C4-5 1000m Time Trial,15,NA
Grisales Euclides,COL,Colombia,Boccia,Male,31,Individual - BC4,6,NA
Grisales Euclides,COL,Colombia,Boccia,Male,31,Pairs - BC4,10,NA
Griswold Robert,USA,United States of America,Swimming,Male,24,Men's 400m Freestyle - S8,5,NA
Griswold Robert,USA,United States of America,Swimming,Male,24,Men's 100m Backstroke - S8,1,Gold
Griswold Robert,USA,United States of America,Swimming,Male,24,Men's 100m Butterfly - S8,1,Gold
Griswold Robert,USA,United States of America,Swimming,Male,24,Men's 200m Individual Medley - SM8,4,NA
Gritsch Alexander,AUT,Austria,Cycling Road,Male,39,Men's H4 Road Race,3,Bronze
Gritsch Alexander,AUT,Austria,Cycling Road,Male,39,Men's H4 Time Trial,3,Bronze
Gritsenko Vitalii,RPC,RPC,Athletics,Male,35,Men's 100m - T53,8,NA
Gritsenko Vitalii,RPC,RPC,Athletics,Male,35,Men's 400m - T53,3,Bronze
Gritsenko Vitalii,RPC,RPC,Athletics,Male,35,Men's 800m - T53,6,NA
Gritsenko Vitalii,RPC,RPC,Athletics,Male,35,Men's 1500m - T54,NA,NA
Gritsenko Vitalii,RPC,RPC,Athletics,Male,35,Men's Marathon - T54,13,NA
Gritsenko Vitalii,RPC,RPC,Athletics,Male,35,4x100m Universal Relay,NA,NA
Grizante Andre Luiz,BRA,Brazil,Cycling Road,Male,44,Men's C4-5 Road Race,NA,NA
Grizante Andre Luiz,BRA,Brazil,Cycling Road,Male,44,Men's C4 Time Trial,9,NA
Grizante Andre Luiz,BRA,Brazil,Cycling Track,Male,44,Men's C4 4000m Individual Pursuit,7,NA
Grizante Andre Luiz,BRA,Brazil,Cycling Track,Male,44,Men's C4-5 1000m Time Trial,21,NA
Gromov Pavel,RPC,RPC,Canoe Sprint,Male,44,Men's Kayak Single 200m - KL1,4,NA
Groot Caroline,NED,Netherlands,Cycling Track,Female,24,Women's C5 3000m Individual Pursuit,8,NA
Groot Caroline,NED,Netherlands,Cycling Track,Female,24,Women's C4-5 500m Time Trial,3,Bronze
Gross Barbara,GER,Germany,Wheelchair Basketball,Female,27,Women,4,NA
Groulx William,USA,United States of America,Cycling Road,Male,47,Men's H1-2 Road Race,NA,NA
Groulx William,USA,United States of America,Cycling Road,Male,47,Men's H2 Time Trial,4,NA
Grudzien Piotr,POL,Poland,Table Tennis,Male,29,Men's Team - Class 9-10,5,NA
Grudzien Piotr,POL,Poland,Table Tennis,Male,29,Men's Singles - Class 8,9,NA
Gu Haiyan,CHN,People's Republic of China,Wheelchair Fencing,Female,21,Women's Foil Individual - Category A,1,Gold
Gu Haiyan,CHN,People's Republic of China,Wheelchair Fencing,Female,21,Women's Sabre Individual - Category A,6,NA
Gu Haiyan,CHN,People's Republic of China,Wheelchair Fencing,Female,21,Women's Foil Team,1,Gold
Gu Xiaodan,CHN,People's Republic of China,Table Tennis,Female,22,Women's Singles - Class 4,3,Bronze
Gu Xiaofei,CHN,People's Republic of China,Powerlifting,Male,32,Men's -80 kg,2,Silver
Guarnieri Manara Luiz Filipe,BRA,Brazil,Table Tennis,Male,29,Men's Team - Class 9-10,9,NA
Guarnieri Manara Luiz Filipe,BRA,Brazil,Table Tennis,Male,29,Men's Singles - Class 8,NA,NA
Guedoun Nabil,ALG,Algeria,Wheelchair Basketball,Male,44,Men,12,NA
Guenichi Yassine,TUN,Tunisia,Athletics,Male,26,Men's Shot Put - F36,2,Silver
Guentner Matthias,GER,Germany,Wheelchair Basketball,Male,22,Men,7,NA
Guerioua Samira,ALG,Algeria,Powerlifting,Female,37,Women's -45 kg,4,NA
Guerra Paulo,BRA,Brazil,Athletics,Male,29,Men's High Jump - T47,8,NA
Guerrero Cazares Rosa Maria,MEX,Mexico,Athletics,Female,36,Women's Discus Throw - F55,3,Bronze
Guillen Rosbil,PER,Peru,Athletics,Male,29,Men's 1500m - T11,NA,NA
Guillen Rosbil,PER,Peru,Athletics,Male,29,Men's 5000m - T11,5,NA
Guirenko Veronika,ISR,Israel,Swimming,Female,23,Women's 100m Freestyle - S3,NA,NA
Guirenko Veronika,ISR,Israel,Swimming,Female,23,Women's 50m Backstroke - S3,NA,NA
Guirenko Veronika,ISR,Israel,Swimming,Female,23,Women's 50m Breaststroke - SB3,NA,NA
Guirenko Veronika,ISR,Israel,Swimming,Female,23,Women's 150m Individual Medley - SM4,NA,NA
Guisso Fiorese Luiza,BRA,Brazil,Sitting Volleyball,Female,24,Women,3,Bronze
Guissone Jovane,BRA,Brazil,Wheelchair Fencing,Male,38,Men's Foil Individual - Category B,13,NA
Guissone Jovane,BRA,Brazil,Wheelchair Fencing,Male,38,Men's Épée Individual - Category B,2,Silver
Guissou Kouilibi Victorine,BUR,Burkina Faso,Athletics,Female,35,Women's Shot Put - F57,12,NA
Guity Guity Sherman Isidro,CRC,Costa Rica,Athletics,Male,24,Men's 100m - T64,2,Silver
Guity Guity Sherman Isidro,CRC,Costa Rica,Athletics,Male,24,Men's 200m - T64,1,Gold
Gulem Volkan,TUR,Turkey,Wheelchair Basketball,Male,23,Men,6,NA
Guler Fatma Gul,TUR,Turkey,Goalball,Female,17,Women,1,Gold
Gumus Ferit,TUR,Turkey,Wheelchair Basketball,Male,40,Men,6,NA
Gunaydin Mucahit,TUR,Turkey,Wheelchair Basketball,Male,22,Men,6,NA
Gundogdu Ekrem,TUR,Turkey,Goalball,Male,30,Men,8,NA
Gundogdu Fikri,TUR,Turkey,Wheelchair Basketball,Male,36,Men,6,NA
Gunnarsson Mar,ISL,Iceland,Swimming,Male,21,Men's 50m Freestyle - S11,NA,NA
Gunnarsson Mar,ISL,Iceland,Swimming,Male,21,Men's 100m Backstroke - S11,5,NA
Gunnarsson Mar,ISL,Iceland,Swimming,Male,21,Men's 100m Butterfly - S11,NA,NA
Gunnarsson Mar,ISL,Iceland,Swimming,Male,21,Men's 200m Individual Medley - SM11,8,NA
Guo Lingling,CHN,People's Republic of China,Powerlifting,Female,32,Women's -41 kg,1,Gold
Guo Xingyuan,CHN,People's Republic of China,Table Tennis,Male,32,Men's Team - Class 4-5,1,Gold
Guo Xingyuan,CHN,People's Republic of China,Table Tennis,Male,32,Men's Singles - Class 4,NA,NA
Gurbulak Ozgur,TUR,Turkey,Wheelchair Basketball,Male,40,Men,6,NA
Gurdal Gamze,TUR,Turkey,Taekwondo,Female,26,Women K44 -58kg,5,NA
Gureeva Tatiana,RPC,RPC,Badminton,Female,30,Women's Singles WH2,5,NA
Gurisatti Gyula,HUN,Hungary,Shooting,Male,55,P1 - Men's 10m Air Pistol SH1,24,NA
Gurisatti Gyula,HUN,Hungary,Shooting,Male,55,P3 - Mixed 25m Pistol SH1,27,NA
Gurisatti Gyula,HUN,Hungary,Shooting,Male,55,P4 - Mixed 50m Pistol SH1,24,NA
Gurjar Sundar Singh,IND,India,Athletics,Male,25,Men's Javelin Throw - F46,3,Bronze
Gustafsson Hakan,SWE,Sweden,Shooting,Male,41,R1 - Men's 10m Air Rifle Standing SH1,13,NA
Gustin Bonnie Bunyau,MAS,Malaysia,Powerlifting,Male,22,Men's -72 kg,1,Gold
Gutierrez Bermudez Juan Jose,MEX,Mexico,Swimming,Male,20,Men's 100m Freestyle - S6,NA,NA
Gutierrez Bermudez Juan Jose,MEX,Mexico,Swimming,Male,20,Men's 400m Freestyle - S6,5,NA
Gutierrez Bermudez Juan Jose,MEX,Mexico,Swimming,Male,20,Men's 100m Breaststroke - SB6,NA,NA
Gutierrez Bermudez Juan Jose,MEX,Mexico,Swimming,Male,20,Men's 200m Individual Medley - SM6,7,NA
Gutierrez Bermudez Raul,MEX,Mexico,Swimming,Male,21,Men's 100m Freestyle - S6,NA,NA
Gutierrez Bermudez Raul,MEX,Mexico,Swimming,Male,21,Men's 400m Freestyle - S6,7,NA
Gutierrez Bermudez Raul,MEX,Mexico,Swimming,Male,21,Men's 200m Individual Medley - SM6,NA,NA
Gutierrez Leon Pedro,ESP,Spain,Football 5-a-side,Male,35,Men,6,NA
Gutnik Mikhail,RPC,RPC,Boccia,Male,37,Individual - BC1,5,NA
Gutnik Mikhail,RPC,RPC,Boccia,Male,37,Team - BC1/BC2,6,NA
Gyeltshen Gyeltshen,BHU,Bhutan,Athletics,Male,28,Men's Shot Put - F40,9,NA
